Location Id,Location Name,Floor,Floor Name,Zone Id,Zone,Cluster Id,Seqno,Id,Workplace Code,Category,Workplace Type,Image Id,Descr,Capacity,Active,Name,Bookable,Future Res Allowed,Photo,Infotext,Device Id,Occupancy Sensor,Sensor Config Id,Hw,Sw,Offline,Free Text,Climate Sensor,Created At,Updated At,Deleted At,Outlook Sync,Outlook Resource Id,Zone Seqno,Sort Field
"3","iotspot Gruyterfabriek","1","Gruyter - 1e verdieping","1063","Test zone","10","3","6357","8MOW7WR72LOQDNPP","S","Sit &amp; Stand desk","413","pagoda","1","1","","1","","","","89882390000076495905","0","0","4","21","1","","0","","","","0","","3040","0003010304001063001000306357"
"3","iotspot Gruyterfabriek","1","Gruyter - 1e verdieping","17","Office 6247","10","10","5102","8PLPN83Z94D9L7KR","R","Standard meeting room GF","1","butterfly","6","1","","1","","","","8931088417068460236","4182","1","2","17","0","","4182","","","","0","","3040","0003010304000017001001005102"
